ID,Weight
8,70.74000000000001
5,69.06
24,57.36
28,47.04
3,44.04
21,43.26
22,37.379999999999995
29,32.28
9,31.14
25,30.240000000000002
20,27.18
32,24.84
30,24.240000000000002
12,24.18
10,24.18
19,24.18
42,24.18
27,20.759999999999998
39,20.58
41,19.56
33,16.740000000000002
34,14.52
1,13.86
38,13.14
43,12.24
6,11.52
23,9.780000000000001
17,7.2
44,6.359999999999999
15,6.3
2,5.9399999999999995
35,1.98
37,0.66
45,0.66
40,0.0
36,0.0
16,0.0
31,0.0
11,0.0
13,0.0
18,0.0
7,0.0
4,0.0
26,0.0
14,0.0
